revenue,operating_expenses,operating_profit,depreciation,interest,profit_before_tax,tax,net_profit,profit_TTM
925.7,803.8,121.2,26.1,12.5,83.3,21.4,64.8,237.0
4208.9,3794.3,366.0,192.5,241.7,-19.5,46.2,-90.2,270.4
38079.4,38015.8,50.1,10.7,0.0,53.0,7.7,45.3,1142.2
837.0,699.0,133.0,26.0,3.0,110.0,28.0,82.0,98.4
4222.1,4049.3,105.9,56.1,44.0,72.8,21.1,51.0,523.6
22296.6,21738.7,481.4,43.7,105.8,408.3,96.7,303.5,1242.0
725.9,623.8,91.5,36.9,4.7,60.4,16.2,44.2,193.9
238797.0,193988.0,40968.0,12585.0,5731.0,26493.0,6673.0,17394.0,68496.0
11701.3,275.1,12180.5,6.1,7349.8,4837.6,1047.7,3789.9,12738.6
951.6,172.2,706.2,101.9,124.2,567.7,129.2,439.6,1016.0
1145.5,1003.7,121.5,19.3,0.5,122.0,31.7,90.0,484.0
3206.5,2551.2,626.2,161.2,79.3,414.8,114.0,300.8,1733.4
726.4,506.1,208.5,9.9,0.3,210.1,57.9,152.1,596.3
1879.2,1506.3,342.0,55.6,1.6,315.7,80.7,235.0,922.6
4932.1,3914.1,886.0,411.7,67.0,539.2,92.6,446.6,1826.8
8893.0,1409.4,6334.3,141.4,3798.0,2404.2,614.9,1786.1,6575.4
5953.2,5107.5,700.2,78.6,4.9,762.2,190.5,571.3,1960.9
773.6,665.8,75.4,19.3,63.9,24.7,9.7,14.9,107.4
1355.2,1011.3,336.1,33.7,24.9,285.3,75.5,200.1,808.2
1935.8,1715.2,197.3,33.3,20.7,166.5,42.3,124.2,475.7
144256.1,58597.6,22703.3,0.0,62955.2,21935.7,5552.5,17196.2,69304.1
29858.2,25836.7,3875.4,1326.6,605.2,1674.7,464.2,1305.6,3219.5
29.7,112.7,-91.5,3.2,0.3,-86.4,0.0,-86.4,-253.6
12486.0,9013.0,3179.4,632.8,49.3,2790.9,390.1,2375.5,8548.5
1160.2,320.6,727.8,218.8,1.7,619.1,154.4,464.7,1861.8
1429.1,1191.1,230.7,54.5,7.4,176.2,43.1,131.9,502.9
36.2,39.1,-14.1,2.2,15.8,-20.9,-6.4,-13.9,-46.5
2321.4,1952.5,356.2,71.9,1.6,295.4,76.3,243.2,1028.2
1428.7,1196.4,225.0,51.2,43.7,102.4,0.1,102.3,561.4
931.7,656.0,254.1,104.6,13.0,150.7,34.2,116.5,498.3
747.2,648.6,80.8,15.9,3.1,79.5,20.5,59.3,224.3
1989.0,1992.2,-198.1,50.1,33.8,-87.1,-6.5,-28.9,92.2
9983.8,8576.9,1355.9,237.1,483.3,686.4,259.8,386.3,1457.6
60698.0,43946.0,15746.0,1263.0,159.0,15330.0,3950.0,11342.0,44654.0
912.8,618.2,263.5,25.0,5.8,263.9,63.8,200.0,785.1
3823.6,3196.7,537.1,93.9,27.6,490.9,131.7,338.2,1275.2
106759.0,91361.3,13766.9,6636.4,2651.7,5985.9,2202.8,3764.0,15332.3
16029.5,12647.0,3091.0,925.9,1181.8,979.2,213.3,875.5,3570.8
55910.2,51414.1,4267.8,2479.8,1959.4,-6842.1,-228.0,-6196.2,-6081.3
13128.1,11941.1,922.8,465.7,97.5,623.8,110.0,493.9,3600.7
2352.1,1935.0,405.6,162.8,116.5,137.8,37.0,72.0,348.9
2368.3,2097.8,204.6,33.0,19.8,217.7,58.9,157.7,498.8
